PrizeName,MatchNum,MatchDetails,LeagueMemberName,LeagueTeamName,Score,PrizeAmount
Lucky Prize,12,PBKS vs KKR,Ben,Bens XI,98,10
Dominator Prize,35,PBKS vs DC,Kunj,Scarlet Challengers,1766,10
