team_name,team_id,gameday,points,league_member_name,display_name
Ravs XI,136580310,8,229.5,Ravtaj,Ravtaj
Scarlet Challengers,243890103,8,152.5,Kunj,Kunj
Sidhsdevilseye,243650709,8,131.0,Sidhu,Sidhu
NSKNEMESIS,108160402,8,126.0,,NSKNEMESIS
BlAcKKaTs,117061010,8,119.0,Yash,Yash
Bens XI,143920506,8,104.0,Ben,Ben
LazyBoys,623050307,8,93.0,Rajesh,Rajesh
Team Joshi,240920202,8,56.0,Saurabh,Saurabh
aksesa11,242840109,8,2.0,Akshay,Akshay
Sunny super kings,243670206,8,0.0,Harpreet,Harpreet
RKDEleven,318100410,8,0.0,Rohit,Rohit
Ravs XI,136580310,9,330.5,Ravtaj,Ravtaj
Scarlet Challengers,243890103,9,326.5,Kunj,Kunj
Ashray Team,152250802,9,312.5,Ashray,Ashray
SanjuPaglu,230850202,9,272.5,Bijil,Bijil
NSKNEMESIS,108160402,9,259.0,,NSKNEMESIS
Team Joshi,240920202,9,139.0,Saurabh,Saurabh
aksesa11,242840109,9,134.0,Akshay,Akshay
BlAcKKaTs,117061010,9,104.0,Yash,Yash
Kinkartvyavimudh,255290408,9,0.0,Abhishek,Abhishek
Sunny super kings,243670206,9,0.0,Harpreet,Harpreet
T20 Warriors XI,248520808,9,0.0,Atharva,Atharva
Bens XI,143920506,9,0.0,Ben,Ben
LazyBoys,623050307,9,0.0,Rajesh,Rajesh
Sidhsdevilseye,243650709,9,0.0,Sidhu,Sidhu
RKDEleven,318100410,9,0.0,Rohit,Rohit
SanjuPaglu,230850202,10,226.0,Bijil,Bijil
Team Joshi,240920202,10,212.5,Saurabh,Saurabh
Ashray Team,152250802,10,208.0,Ashray,Ashray
LazyBoys,623050307,10,200.0,Rajesh,Rajesh
aksesa11,242840109,10,161.0,Akshay,Akshay
RKDEleven,318100410,10,161.0,Rohit,Rohit
Bens XI,143920506,10,134.0,Ben,Ben
NSKNEMESIS,108160402,10,130.0,,NSKNEMESIS
T20 Warriors XI,248520808,10,45.5,Atharva,Atharva
Scarlet Challengers,243890103,10,6.0,Kunj,Kunj
Ravs XI,136580310,10,0.0,Ravtaj,Ravtaj
Kinkartvyavimudh,255290408,10,0.0,Abhishek,Abhishek
Sunny super kings,243670206,10,0.0,Harpreet,Harpreet
BlAcKKaTs,117061010,10,0.0,Yash,Yash
Sidhsdevilseye,243650709,10,0.0,Sidhu,Sidhu
Scarlet Challengers,243890103,11,700.5,Kunj,Kunj
Ashray Team,152250802,11,402.5,Ashray,Ashray
RKDEleven,318100410,11,337.0,Rohit,Rohit
Team Joshi,240920202,11,273.5,Saurabh,Saurabh
NSKNEMESIS,108160402,11,208.0,,NSKNEMESIS
SanjuPaglu,230850202,11,196.5,Bijil,Bijil
BlAcKKaTs,117061010,11,180.0,Yash,Yash
aksesa11,242840109,11,156.5,Akshay,Akshay
Sidhsdevilseye,243650709,11,118.5,Sidhu,Sidhu
Sunny super kings,243670206,11,74.5,Harpreet,Harpreet
Ravs XI,136580310,11,0.0,Ravtaj,Ravtaj
Kinkartvyavimudh,255290408,11,0.0,Abhishek,Abhishek
T20 Warriors XI,248520808,11,0.0,Atharva,Atharva
Bens XI,143920506,11,0.0,Ben,Ben
LazyBoys,623050307,11,0.0,Rajesh,Rajesh
Bens XI,143920506,12,98.0,Ben,Ben
aksesa11,242840109,12,92.5,Akshay,Akshay
Team Joshi,240920202,12,89.5,Saurabh,Saurabh
Sunny super kings,243670206,12,83.0,Harpreet,Harpreet
Ashray Team,152250802,12,75.5,Ashray,Ashray
T20 Warriors XI,248520808,12,58.5,Atharva,Atharva
Scarlet Challengers,243890103,12,57.5,Kunj,Kunj
NSKNEMESIS,108160402,12,54.5,,NSKNEMESIS
SanjuPaglu,230850202,12,44.5,Bijil,Bijil
BlAcKKaTs,117061010,12,35.5,Yash,Yash
LazyBoys,623050307,12,9.0,Rajesh,Rajesh
Sidhsdevilseye,243650709,12,4.0,Sidhu,Sidhu
Ravs XI,136580310,12,0.0,Ravtaj,Ravtaj
Kinkartvyavimudh,255290408,12,0.0,Abhishek,Abhishek
RKDEleven,318100410,12,0.0,Rohit,Rohit
Scarlet Challengers,243890103,13,443.0,Kunj,Kunj
T20 Warriors XI,248520808,13,394.5,Atharva,Atharva
Team Joshi,240920202,13,356.0,Saurabh,Saurabh
Ashray Team,152250802,13,316.0,Ashray,Ashray
Ravs XI,136580310,13,299.0,Ravtaj,Ravtaj
aksesa11,242840109,13,281.0,Akshay,Akshay
SanjuPaglu,230850202,13,176.0,Bijil,Bijil
BlAcKKaTs,117061010,13,167.0,Yash,Yash
LazyBoys,623050307,13,123.0,Rajesh,Rajesh
Kinkartvyavimudh,255290408,13,103.0,Abhishek,Abhishek
Sidhsdevilseye,243650709,13,70.0,Sidhu,Sidhu
Bens XI,143920506,13,16.0,Ben,Ben
Sunny super kings,243670206,13,0.0,Harpreet,Harpreet
NSKNEMESIS,108160402,13,0.0,,NSKNEMESIS
RKDEleven,318100410,13,0.0,Rohit,Rohit
Ashray Team,152250802,14,647.0,Ashray,Ashray
Kinkartvyavimudh,255290408,14,376.5,Abhishek,Abhishek
SanjuPaglu,230850202,14,373.5,Bijil,Bijil
Scarlet Challengers,243890103,14,303.0,Kunj,Kunj
Ravs XI,136580310,14,297.5,Ravtaj,Ravtaj
Team Joshi,240920202,14,209.5,Saurabh,Saurabh
aksesa11,242840109,14,129.0,Akshay,Akshay
Sidhsdevilseye,243650709,14,108.0,Sidhu,Sidhu
Bens XI,143920506,14,96.5,Ben,Ben
NSKNEMESIS,108160402,14,54.5,,NSKNEMESIS
T20 Warriors XI,248520808,14,35.0,Atharva,Atharva
Sunny super kings,243670206,14,0.0,Harpreet,Harpreet
BlAcKKaTs,117061010,14,0.0,Yash,Yash
LazyBoys,623050307,14,0.0,Rajesh,Rajesh
RKDEleven,318100410,14,0.0,Rohit,Rohit
Sunny super kings,243670206,15,408.5,Harpreet,Harpreet
Ravs XI,136580310,15,315.0,Ravtaj,Ravtaj
T20 Warriors XI,248520808,15,306.0,Atharva,Atharva
Bens XI,143920506,15,305.0,Ben,Ben
BlAcKKaTs,117061010,15,278.0,Yash,Yash
Scarlet Challengers,243890103,15,264.5,Kunj,Kunj
NSKNEMESIS,108160402,15,209.5,,NSKNEMESIS
Ashray Team,152250802,15,208.0,Ashray,Ashray
Team Joshi,240920202,15,198.0,Saurabh,Saurabh
SanjuPaglu,230850202,15,177.0,Bijil,Bijil
aksesa11,242840109,15,163.5,Akshay,Akshay
Kinkartvyavimudh,255290408,15,111.0,Abhishek,Abhishek
LazyBoys,623050307,15,106.0,Rajesh,Rajesh
Sidhsdevilseye,243650709,15,16.0,Sidhu,Sidhu
RKDEleven,318100410,15,0.0,Rohit,Rohit
Ravs XI,136580310,16,1136.0,Ravtaj,Ravtaj
Team Joshi,240920202,16,433.0,Saurabh,Saurabh
T20 Warriors XI,248520808,16,397.0,Atharva,Atharva
Ashray Team,152250802,16,370.0,Ashray,Ashray
NSKNEMESIS,108160402,16,274.5,,NSKNEMESIS
RKDEleven,318100410,16,264.0,Rohit,Rohit
aksesa11,242840109,16,253.5,Akshay,Akshay
BlAcKKaTs,117061010,16,233.0,Yash,Yash
SanjuPaglu,230850202,16,219.0,Bijil,Bijil
Scarlet Challengers,243890103,16,164.0,Kunj,Kunj
Bens XI,143920506,16,117.5,Ben,Ben
Kinkartvyavimudh,255290408,16,0.0,Abhishek,Abhishek
Sunny super kings,243670206,16,0.0,Harpreet,Harpreet
LazyBoys,623050307,16,0.0,Rajesh,Rajesh
Sidhsdevilseye,243650709,16,0.0,Sidhu,Sidhu
Kinkartvyavimudh,255290408,17,517.5,Abhishek,Abhishek
Bens XI,143920506,17,417.0,Ben,Ben
NSKNEMESIS,108160402,17,355.5,,NSKNEMESIS
Scarlet Challengers,243890103,17,297.0,Kunj,Kunj
aksesa11,242840109,17,279.0,Akshay,Akshay
Team Joshi,240920202,17,234.0,Saurabh,Saurabh
RKDEleven,318100410,17,221.5,Rohit,Rohit
LazyBoys,623050307,17,193.0,Rajesh,Rajesh
Ashray Team,152250802,17,181.0,Ashray,Ashray
SanjuPaglu,230850202,17,87.0,Bijil,Bijil
Ravs XI,136580310,17,0.0,Ravtaj,Ravtaj
Sunny super kings,243670206,17,0.0,Harpreet,Harpreet
T20 Warriors XI,248520808,17,0.0,Atharva,Atharva
BlAcKKaTs,117061010,17,0.0,Yash,Yash
Sidhsdevilseye,243650709,17,0.0,Sidhu,Sidhu
LazyBoys,623050307,18,527.0,Rajesh,Rajesh
Kinkartvyavimudh,255290408,18,472.0,Abhishek,Abhishek
NSKNEMESIS,108160402,18,391.5,,NSKNEMESIS
Sidhsdevilseye,243650709,18,375.0,Sidhu,Sidhu
BlAcKKaTs,117061010,18,341.0,Yash,Yash
Ashray Team,152250802,18,297.5,Ashray,Ashray
aksesa11,242840109,18,282.0,Akshay,Akshay
Team Joshi,240920202,18,208.0,Saurabh,Saurabh
T20 Warriors XI,248520808,18,188.5,Atharva,Atharva
SanjuPaglu,230850202,18,91.0,Bijil,Bijil
Bens XI,143920506,18,10.0,Ben,Ben
Scarlet Challengers,243890103,18,5.0,Kunj,Kunj
Ravs XI,136580310,18,0.0,Ravtaj,Ravtaj
Sunny super kings,243670206,18,0.0,Harpreet,Harpreet
RKDEleven,318100410,18,0.0,Rohit,Rohit
NSKNEMESIS,108160402,19,704.0,,NSKNEMESIS
Kinkartvyavimudh,255290408,19,367.0,Abhishek,Abhishek
SanjuPaglu,230850202,19,340.5,Bijil,Bijil
Ashray Team,152250802,19,251.0,Ashray,Ashray
Sunny super kings,243670206,19,229.5,Harpreet,Harpreet
aksesa11,242840109,19,212.5,Akshay,Akshay
